t0,t1,t2,t3,t4,t5
2.809611901636376308e-01,1.762182515730313648e-01,1.872318922963457644e-01,2.985212645488649064e-01,8.691529282524517175e-01,4.615142904827917647e+01
2.844571462864554645e-01,1.770996536159830659e-01,1.881683819669821567e-01,3.022357179293589380e-01,8.695350783102271386e-01,4.640640924965377678e+01
2.874530190425889642e-01,1.774538676455971187e-01,1.885447343734469872e-01,3.054188327327507779e-01,8.694478095823671149e-01,4.656284479300992274e+01
2.893673528068335110e-01,1.776484519178013755e-01,1.887514801626639926e-01,3.074528123572608518e-01,8.695189593287248053e-01,4.665120457474360904e+01
2.902141018990107568e-01,1.776089449023000311e-01,1.887095039586938472e-01,3.083524832676989846e-01,8.697443193595846278e-01,4.669951756354794270e+01
2.902831080727069635e-01,1.772922422694051536e-01,1.883730074112430486e-01,3.084258023272510862e-01,8.701943368546201096e-01,4.672540511145285791e+01
2.900419481975884950e-01,1.766185009813229512e-01,1.876571572926556963e-01,3.081695699599377170e-01,8.707564088430517213e-01,4.674023450696295612e+01
2.897688683922739483e-01,1.756498304908280239e-01,1.866279448965048049e-01,3.078794226667910805e-01,8.713994184142813682e-01,4.674850024966436735e+01
2.892321638276025286e-01,1.744769367127975424e-01,1.853817452573473246e-01,3.073091740668277838e-01,8.722937476281700242e-01,4.675452403965250170e+01
2.884783691332833966e-01,1.731064113008447258e-01,1.839255620071476305e-01,3.065082672041135048e-01,8.733890645866542179e-01,4.675954216494137938e+01
2.873281875279063424e-01,1.716367067531683610e-01,1.823640009252413541e-01,3.052861992484006692e-01,8.746589703872990063e-01,4.676457253246795176e+01
2.849679610967923993e-01,1.698556743765242405e-01,1.804716540250571044e-01,3.027784586653418653e-01,8.755771184197450596e-01,4.672455721849030397e+01
2.806998034904191752e-01,1.676823471842736335e-01,1.781624938832908622e-01,2.982435412085701620e-01,8.767025252075648645e-01,4.669051307139650930e+01
2.770180389389572118e-01,1.665432538168988841e-01,1.769522071804550678e-01,2.943316663726421312e-01,8.783395744860099663e-01,4.667126495233966210e+01
2.766498050825365596e-01,1.669936321007825519e-01,1.774307341070814614e-01,2.939404179001951500e-01,8.801545455757906478e-01,4.664484492258024773e+01
2.766895607050259831e-01,1.678541523416248737e-01,1.783450368629765082e-01,2.939826582490898677e-01,8.819984759998360513e-01,4.660135746914806987e+01
