time,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17
2.566667,2.008250,2.011779,2.032839,2.011521,2.006269,1.980387,2.002034,1.933706,0.144817,0.086655,0.037509,0.075426,0.145297,0.192328,0.898463,1.522891,0.677557
2.583333,2.008171,2.012064,2.032248,2.011544,2.006291,1.980226,2.002131,1.932299,0.144963,0.086616,0.037835,0.075228,0.148419,0.190442,0.898430,1.505825,0.684547
2.600000,2.008073,2.012167,2.031828,2.011601,2.006308,1.979020,2.002268,1.930886,0.145136,0.086634,0.038228,0.075063,0.151525,0.188472,0.895520,1.489346,0.691193
2.616667,2.008036,2.012210,2.031834,2.011650,2.006320,1.977786,2.002453,1.927874,0.145295,0.086655,0.038631,0.074920,0.154266,0.186611,0.892205,1.476075,0.697150
2.633333,2.008020,2.012217,2.031903,2.011686,2.006330,1.977936,2.002625,1.924623,0.145596,0.086532,0.039008,0.074646,0.155617,0.185021,0.888570,1.466106,0.702473
2.650000,2.007991,2.012399,2.031931,2.011731,2.006339,1.978619,2.002816,1.921331,0.145872,0.086378,0.039018,0.074201,0.156620,0.183404,0.895004,1.457958,0.710019
2.666667,2.007958,2.012610,2.031982,2.011782,2.006340,1.979137,2.003009,1.917879,0.145993,0.086293,0.038944,0.073812,0.157645,0.181772,0.903609,1.451150,0.718133
2.683333,2.007944,2.012723,2.031955,2.011838,2.006330,1.979712,2.003188,1.914542,0.146138,0.086209,0.038799,0.073460,0.158528,0.180229,0.911950,1.444394,0.723586
2.700000,2.007949,2.012598,2.031558,2.011893,2.006311,1.980325,2.003356,1.911280,0.146319,0.086129,0.038597,0.073143,0.159267,0.178619,0.923734,1.434830,0.727269
2.716667,2.007976,2.012517,2.030944,2.011948,2.006288,1.980990,2.003507,1.908209,0.146504,0.086067,0.038216,0.072904,0.159440,0.176825,0.948490,1.421440,0.729973
2.733333,2.008002,2.012460,2.030426,2.012076,2.006194,1.981612,2.003653,1.905114,0.145182,0.086265,0.037837,0.072776,0.159609,0.175186,0.971934,1.408335,0.742281
2.750000,2.008029,2.012637,2.030110,2.012201,2.006094,1.982313,2.003778,1.902133,0.143822,0.086488,0.037451,0.072727,0.159237,0.173874,0.994631,1.396340,0.754414
2.766667,2.007967,2.012902,2.029911,2.012316,2.005998,1.982769,2.003887,1.899466,0.142640,0.086752,0.037116,0.072577,0.162303,0.170037,1.015464,1.385261,0.765446
2.783333,2.007870,2.013080,2.029696,2.012566,2.005757,1.982866,2.003977,1.897177,0.138795,0.087881,0.036796,0.072622,0.169314,0.164958,1.035996,1.374125,0.796691
2.800000,2.007793,2.013319,2.029532,2.012900,2.005457,1.983116,2.004044,1.895426,0.134117,0.089370,0.036461,0.072866,0.175589,0.160549,1.056464,1.363436,0.840744
2.816667,2.007693,2.013595,2.029417,2.013023,2.005358,1.983541,2.004088,1.895222,0.133429,0.089951,0.036213,0.072938,0.180913,0.155910,1.075274,1.353217,0.851257
2.833333,2.007543,2.014017,2.029314,2.013078,2.005317,1.984024,2.004116,1.897993,0.134472,0.090154,0.035963,0.072972,0.185040,0.150585,1.097168,1.343337,0.837106
2.850000,2.007402,2.014532,2.029251,2.013015,2.005342,1.984519,2.004138,1.900878,0.136403,0.090224,0.035896,0.072982,0.188803,0.145970,1.120392,1.333937,0.814050
2.866667,2.007284,2.015186,2.029188,2.013145,2.005277,1.985021,2.004155,1.903771,0.137128,0.090914,0.035949,0.073182,0.192131,0.142164,1.148183,1.324840,0.809904
2.883333,2.007179,2.015555,2.029052,2.013571,2.004945,1.985226,2.004021,1.906263,0.133560,0.092874,0.035892,0.073819,0.194066,0.139029,1.172265,1.315159,0.847078
2.900000,2.007103,2.015867,2.028964,2.014045,2.004587,1.984863,2.003813,1.906433,0.130023,0.095377,0.035835,0.074849,0.191895,0.136706,1.190532,1.306495,0.893067
2.916667,2.007077,2.016123,2.028903,2.014435,2.004280,1.984534,2.003563,1.907251,0.127425,0.097652,0.035807,0.075870,0.187555,0.134973,1.205487,1.298656,0.932872
2.933333,2.007065,2.016341,2.028879,2.014764,2.004012,1.984309,2.003303,1.908196,0.125509,0.099706,0.035784,0.076805,0.183296,0.133664,1.218306,1.291607,0.967011
